# ただいま作成中。。。
愛国	あいこく。
空襲	くうしゅう。
空席	くうせき。
空想	くうそう。
空中	くうちゅう。
空白	くうはく。
空爆	くうばく。
空腹感	くうふくかん。
苦境	くきょう。
苦言	くげん。
草木	くさき。
草花	くさばな。
草野球	くさやきゅう。
駆除	くじょ。
苦情	くじょう。
薬指	くすりゆび。
果物	くだもの。
口数	くちかず。
口笛	くちぶえ。
口下手	くちべた。
口元	くちもと。
口調	くちょう。
苦痛	くつう。
屈辱	くつじょく。
句読点	くとうてん。
首輪	くびわ。
工夫	くふう。
区別	くべつ。
供養	くよう。
暗闇	くらやみ。
苦労話	くろうばなし。
勲章	くんしょう。
君臨	くんりん。
訓練	くんれん。
具合	ぐあい。
偶数	ぐうすう。
偶然	ぐうぜん。
軍艦	ぐんかん。
軍事	ぐんじ。
軍人	ぐんじん。
軍隊	ぐんたい。
軍服	ぐんぷく。
毛穴	けあな。
経緯	けいい。
経営者	けいえいしゃ。
警戒	けいかい。
計画書	けいかくしょ。
景観条例	けいかんじょうれい。
計器	けいき。
景気	けいき。
軽減	けいげん。
傾向	けいこう。
警告	けいこく。
警告音	けいこくおん。
敬語	けいご。
掲載	けいさい。
警察	けいさつ。
警察署	けいさつしょ。
計算	けいさん。
計算機	けいさんき。
経済	けいざい。
傾斜	けいしゃ。
軽車両	けいしゃりょう。
掲示板	けいじばん。
形状	けいじょう。
継続	けいぞく。
形態	けいたい。
携帯電話	けいたいでんわ。
毛糸	けいと。
軽度	けいど。
経度	けいど。
啓発	けいはつ。
刑罰	けいばつ。
経費	けいひ。
景品	けいひん。
警備員	けいびいん。
警報	けいほう。
警棒	けいぼう。
刑務所	けいむしょ。
啓蒙	けいもう。
契約	けいやく。
契約書	けいやくしょ。
鶏卵	けいらん。
計量	けいりょう。
競輪	けいりん。
敬礼	けいれい。
経路	けいろ。
敬老	けいろう。
毛皮	けがわ。
今朝	けさ。
消印	けしいん。
景色	けしき。
雪景色	ゆきげしき。
決意	けつい。
血液	けつえき。
血液型	けつえきがた。
血液検査	けつえきけんさ。
血管	けっかん。
結構	けっこう。
結婚式	けっこんしき。
決算	けっさん。
決勝	けっしょう。
決心	けっしん。
結成	けっせい。
欠席	けっせき。
出席	しゅっせき。
決断	けつだん。
決着	けっちゃく。
決定	けってい。
欠点	けってん。
結末	けつまつ。
結論	けつろん。
仮病	けびょう。
毛虫	けむし。
権威	けんい。
検閲	けんえつ。
閲覧	えつらん。
見解	けんかい。
見学会	けんがくかい。
見学者	けんがくしゃ。
研究者	けんきゅうしゃ。
研究家	けんきゅうか。
研究所	けんきゅうじょ。
検挙	けんきょ。
献血	けんけつ。
健康	けんこう。
健康診断	けんこうしんだん。
健康保険証	けんこうほけんしょう。
建国	けんこく。
検査	けんさ。
検索	けんさく。
検算	けんざん。
検証	けんしょう。
献上	けんじょう。
件数	けんすう。
建設	けんせつ。
建設業	けんせつぎょう。
健全	けんぜん。
建築	けんちく。
検定	けんてい。
検討	けんとう。
検尿	けんにょう。
見物客	けんぶつきゃく。
検便	けんべん。
憲法	けんぽう。
研磨	けんま。
県民	けんみん。
兼務	けんむ。
件名	けんめい。
倹約家	けんやくか。
兼用	けんよう。
権利	けんり。
権力者	けんりょくしゃ。
検証	けんしょう。
迎春	げいしゅん。
芸術家	げいじゅつか。
芸名	げいめい。
激化	げきか。
激減	げきげん。
激震	げきしん。
劇場	げきじょう。
激戦	げきせん。
劇団	げきだん。
劇団員	げきだんいん。
撃沈	げきちん。
撃墜	げきつい。
激痛	げきつう。
激突	げきとつ。
激怒	げきど。
激務	げきむ。
劇薬	げきやく。
下校時間	げこうじかん。
下剤	げざい。
下水道	げすいどう。
月刊	げっかん。
月間	げっかん。
月額	げつがく。
月光	げっこう。
月収	げっしゅう。
月食	げっしょく。
月曜	げつよう。
原因	げんいん。
現役	げんえき。
限界	げんかい。
玄関	げんかん。
減額	げんがく。
弦楽器	げんがっき。
元気	げんき。
言及	げんきゅう。
現金	げんきん。
言語	げんご。
現在	げんざい。
原始時代	げんしじだい。
原子核	げんしかく。
原始人	げんしじん。
厳守	げんしゅ。
現象	げんしょう。
現実	げんじつ。
厳重	げんじゅう。
原石	げんせき。
厳選	げんせん。
減税	げんぜい。
元素	げんそ。
幻想	げんそう。
原則	げんそく。
減速	げんそく。
現代	げんだい。
現代人	げんだいじん。
幻聴	げんちょう。
原点	げんてん。
減点	げんてん。
限度	げんど。
言動	げんどう。
現場	げんば。
原爆	げんばく。
原子爆弾	げんしばくだん。
厳密	げんみつ。
原油	げんゆ。
原理	げんり。
原料	げんりょう。
言論	げんろん。
恋心	こいごころ。
恋人	こいびと。
恋文	こいぶみ。
高圧	こうあつ。
考案者	こうあんしゃ。
行為	こうい。
幸運	こううん。
公園	こうえん。
講演会	こうえんかい。
効果	こうか。
校歌	こうか。
公開	こうかい。
後悔	こうかい。
航海	こうかい。
降格	こうかく。
交換	こうかん。
公害	こうがい。
郊外	こうがい。
光学	こうがく。
工学	こうがく。
高額	こうがく。
後期	こうき。
好機	こうき。
工期	こうき。
高貴	こうき。
高気圧	こうきあつ。
好奇心	こうきしん。
綱紀粛正	こうきしゅくせい。
高級	こうきゅう。
高級車	こうきゅうしゃ。
高級品	こうきゅうひん。
皇居	こうきょ。
公共	こうきょう。
公共施設	こうきょうしせつ。
公共性	こうきょうせい。
抗菌	こうきん。
公金	こうきん。
講義	こうぎ。
抗議	こうぎ。
工業	こうぎょう。
興行	こうぎょう。
鉱業	こうぎょう。
航空	こうくう。
航空機	こうくうき。
航空券	こうくうけん。
航空便	こうくうびん。
工具	こうぐ。
厚遇	こうぐう。
光景	こうけい。
好景気	こうけいき。
後継者	こうけいしゃ。
高潔	こうけつ。
高血圧	こうけつあつ。
低血圧	ていけつあつ。
後見人	こうけんにん。
公権力	こうけんりょく。
工芸品	こうげいひん。
攻撃	こうげき。
抗原	こうげん。
高原	こうげん。
公言	こうげん。
高校	こうこう。
航行	こうこう。
考古学	こうこがく。
広告	こうこく。
交互	こうご。
皇后	こうごう。
光合成	こうごうせい。
交差	こうさ。
黄砂	こうさ。
交際	こうさい。
高裁	こうさい。
工作	こうさく。
交錯	こうさく。
耕作	こうさく。
考察	こうさつ。
交差点	こうさてん。
公算	こうさん。
降参	こうさん。
口座	こうざ。
講座	こうざ。
好材料	こうざいりょう。
鉱山	こうざん。
行使	こうし。
講師	こうし。
公式	こうしき。
公私混同	こうしこんどう。
皇室	こうしつ。
後者	こうしゃ。
校舎	こうしゃ。
口臭	こうしゅう。
講習	こうしゅう。
公衆衛生	こうしゅうえいせい。
高周波	こうしゅうは。
低周波	ていしゅうは。
絞首刑	こうしゅけい。
高所恐怖症	こうしょきょうふしょう。
交渉	こうしょう。
更新	こうしん。
行進	こうしん。
興信所	こうしんじょ。
香辛料	こうしんりょう。
工事	こうじ。
公示	こうじ。
口実	こうじつ。
高次元	こうじげん。
後述	こうじゅつ。
口述	こうじゅつ。
控除	こうじょ。
工場	こうじょう。
向上心	こうじょうしん。
向上	こうじょう。
公序良俗	こうじょりょうぞく。
好人物	こうじんぶつ。
香水	こうすい。
降水量	こうすいりょう。
構図	こうず。
洪水	こうずい。
構成	こうせい。
後世	こうせい。
校正	こうせい。
恒星	こうせい。
厚生施設	こうせいしせつ。
好成績	こうせいせき。
高性能	こうせいのう。
鉱石	こうせき。
功績	こうせき。
降雪量	こうせつりょう。
高専	こうせん。
光線	こうせん。
公然	こうぜん。
酵素	こうそ。
構想	こうそう。
高層建築	こうそうけんちく。
構想力	こうそうりょく。
高速	こうそく
高速道路	こうそくどうろ。
拘束	こうそく。
校則	こうそく。
構造	こうぞう。
後続	こうぞく。
皇族	こうぞく。
交代	こうたい。
後退	こうたい。
抗体	こうたい。
皇太子	こうたいし。
交替	こうたい。
光沢	こうたく。
降誕	こうたん。
構築	こうちく。
紅茶	こうちゃ。
校長	こうちょう。
好調	こうちょう。
硬直	こうちょく。
交通	こうつう。
交通量	こうつうりょう。
好都合	こうつごう。
工程	こうてい。
肯定	こうてい。
高低	こうてい。
公邸	こうてい。
皇帝	こうてい。
好敵手	こうてきしゅ。
鋼鉄	こうてつ。
交点	こうてん。
好転	こうてん。
公転	こうてん。
香典	こうでん。
高等学校	こうとうがっこう。
口頭	こうとう。
後頭部	こうとうぶ。
高度	こうど。
講堂	こうどう。
行動	こうどう。
行動力	こうどうりょく。
公道	こうどう。
高度化	こうどか。
高度差	こうどさ。
高度成長期	こうどせいちょうき。
校内	こうない。
公認	こうにん。
後任	こうにん。
高熱	こうねつ。
光年	こうねん。
効能	こうのう。
後輩	こうはい。
交配	こうはい。
荒廃	こうはい。
高配当	こうはいとう。
紅白	こうはく。
後発	こうはつ。
後半	こうはん。
広範囲	こうはんい。
工場	こうば。
勾配	こうばい。
交番	こうばん。
降板	こうばん。
公表	こうひょう。
好評	こうひょう。
交尾	こうび。
交付	こうふ。
幸福	こうふく。
降伏	こうふく。
興奮	こうふん。
興奮剤	こうふんざい。
興奮状態	こうふんじょうたい。
鉱物	こうぶつ。
好物	こうぶつ。
高分子	こうぶんし。
公文書	こうぶんしょ。
公平	こうへい。
候補	こうほ。
工法	こうほう。
後方	こうほう。
公募	こうぼ。
酵母	こうぼ。
工房	こうぼう。
攻防	こうぼう。
興亡	こうぼう。
公僕	こうぼく。
高慢	こうまん。
鉱脈	こうみゃく。
功名心	こうみょうしん。
香味料	こうみりょう。
公民館	こうみんかん。
公民権運動	こうみんけんうんどう。
公務	こうむ。
公務員	こうむいん。
公明正大	こうめいせいだい。
項目	こうもく。
校門	こうもん。
荒野	こうや。
公約	こうやく。
公約数	こうやくすう。
交友関係	こうゆうかんけい。
効用	こうよう。
広葉樹	こうようじゅ。
行楽地	こうらくち。
公理	こうり。
功利主義	こうりしゅぎ。
効率	こうりつ。
公立	こうりつ。
攻略	こうりゃく。
交流	こうりゅう。
香料	こうりょう。
効力	こうりょく。
後輪	こうりん。
降臨	こうりん。
恒例	こうれい。
航路	こうろ。
口論	こうろん。
興和	こうわ。
講和	こうわ。
港湾	こうわん。
小型	こがた。
黄金色	こがねいろ。
小柄	こがら。
顧客	こきゃく。
呼吸	こきゅう。
故郷	こきょう。
古今和歌集	こきんわかしゅう。
小切手	こぎって。
国益	こくえき。
黒煙	こくえん。
黒鉛	こくえん。
国王	こくおう。
国外	こくがい。
国外追放	こくがいつうほう。
国語	こくご。
国語辞典	こくごじてん。
国際	こくさい。
国債	こくさい。
国際化	こくさいか。
国際会議	こくさいかいぎ。
国際電話	こくさいでんわ。
